Area,School,level,physical_address,ECD_Enrollment_Boys_and_Girls,Primary_Enrollment_Boys,Primary_Enrollment_Girls,ECD_Classes_Offered,Primary_Classes_Offered,Teachers_assigned,,,,,
UHUNMWODE,UVBENISI P/S UVBENISI,P,OZAEGUAEHOLOR ROAD,0,76,73,3,6,8,,,,,
UHUNMWODE,UVBE P/S UVBE,P,ALONG BENIN/AUCHI ROAD,0,161,155,3,6,6,,,,,V
Akoko Edo,UTUA P/S IGARRA,PE,"OPP/ AKOKOEDO L.G. TREASURY, IGARRA",106,129,144,3,6,3,,,,,
IKPOBA OKHA,UTOMWEN PRIMARY SCHOOL,PE,SAPELE ROAD,17,52,55,3,6,9,,,,,
Igueben,"Utantan P/S, Igueben",,"Uhe Qtrs, along Idumeka RD",51,197,190,3,6,3,,,,,
Esan NEAST,UTAKO PRI. SCH. UROMI,PE,UTAKO VILLAGE UROMI,85,122,112,3,6,9,,,,,
Ovia Neast,USUN PRIMARY SCHOOL USUN IVBIARO,,USUN PRIMARY SCHOOL USUN IVBIARO,48,89,97,3,6,6,,,,,
owan east,USUN PRIMARY SCHOOL,,USUN PRIMARY SCHOOL USUN IVBIARO,48,89,97,3,6,7,,,,,
ESAN CENT,"USUGBENU P/S, IRRUA",PE,USUGBENU COMMUNITY IRRUA,57,85,86,3,6,6,,,,,
ORHIONMWON,USON P/S USON,PE,OGAN EVBOHIGHAE RD,,24,23,3,6,3,,,,,
Akoko Edo,USOMO P/S SOMORIKA ,PE,BY ST. MICHAEL ANG. CHR. SOMORIKA,88,156,184,3,6,9,,,,,
ESAN SEAST,USOLO P/S EMU,P,USOLO P/S EMU,94,110,115,3,6,8,,,,,
Etsako West,USOKWILI P/S AUCHI,PE,IYEKHEI G.SEC. SC. RD AUCHI ,98,81,121,3,6,9,,,,,
Etsako West,USOGUN P/S AUCHI,PE,ALONG WARRAKE RD AUCHI,272,354,361,3,6,3,,,,,
Ovia Neast,USOBUA P/S,,IYEUOUT,160,203,179,3,6,5,,,,,
owan east,USOBUA P/S IYEUOTUO,,IYEUOUT,160,203,179,3,6,3,,,,,
Ovia Swest,USIOMOIFO P/S UGBOGUI,PE,COLLEGE ROAD UGBOGUI,90,189,206,3,6,9,,,,,
Oredo,USI PRIMARY SCHOOL,PE,"EWAH ROAD, BENIN CITY",60,156,155,3,6,3,,,,,
ESAN CENT,"USENU P/S, IRRUA",PE,"USENU COMMUNITY  BENINAUCHI EXP. RD., IRRUA",52,73,67,3,6,9,,,,,
Egor,USELU,PE,"74, USELU LAGOS ROAD, USELU SHELL ",139,546,502,3,6,7,,,,,
Etsako West,USAGBE P/S OGBIDO,PE,OGBODI ALONG OKPELLA RD,82,156,136,3,6,9,,,,,
Etsako Cent,USAGBE PRY SCHOOL FUGAR,,IVHIEGWI QTRS MISSION RD FUGAR,302,306,306,3,6,9,,,,,
Egor,URUMWON,PE,OPPOSITE URUMWON PALACE,81,161,153,3,6,3,,,,,
IKPOBA OKHA,URORA PRIMARY SCHOOL,PE,URORA VILLAGE,181,424,458,3,6,5,,,,,
Esan NEAST,UROMI GIRLS PRI. SCH. UROMI,PE,"CONVENT ROAD, UROMI",190,0,560,3,6,5,,,,,
ESAN SEAST,UROH P/S UROH OLD SITE,P,UROH P/S UROH OLD SITE,121,86,25,3,6,8,,,,,
Esan NEAST,UROH PRI. SCH. UZEA,PE,"UROH QUARTERS, IZEA",75,90,100,3,6,6,,,,,
ESAN SEAST,URIWA P/S URIWA,P,URIWA P/S URIWA,0,86,91,3,6,4,,,,,
Etsako Cent,URALO PRY SCH IRAOKHOR,PE,"OKOTOR QTRS, IRAOKHOR",225,203,194,3,6,6,,,,,
ESAN SEAST,UOKHEN P/S OHORDUA,P,UOKHEN P/S OHORDUA,33,52,48,3,6,9,,,,,
Esan NEAST,UNUAWAZI PRI. SCH. UROMI,PE,"UNUWAZI VILLAGE, UROMI",63,76,61,3,6,6,,,,,
Akoko Edo,UNNE P/S SASARO,PE,BETWEEN SASARO/EGBIGERE,158,107,200,3,6,3,,,,,
Etsako West,UNITY P/S IDEGUN,PE,IDEGUN ANWAIN,38,124,146,3,6,6,,,,,
Ovia Swest,UMOLA P/S ESSISAYO,P,ESSI VILLAGE,0,51,45,3,6,4,,,,,
UHUNMWODE,UMOKPE P/S UMOKPE,P,ALONG IRHUE ROAD,0,117,115,3,6,3,,,,,
owan west,Umiehi C/S Uzebba,PE,"Along Ifon rd, Uzebba",122,272,294,3,6,3,,,,,
ESAN CENT,"UMENLEN P/S, UGBEGUN",PE,UMENLEN COMMUNITY UGBEGUN,30,66,83,3,6,7,,,,,
owan west,Umende P/S Avbiosi Old,PE,"Ebule rd, Avbiosi Old",107,118,114,3,6,3,,,,,
Oredo,UMEGBE PRIMARY SCHOOL,PE,ALONG ST UPPER ST SAVIOUR,144,476,438,3,6,9,,,,,
ORHIONMWON,UMAGBAE P/S UGBOKONUMAGBAE,PE,ALONG UMEGBE MARKET ROAD,32,28,41,3,6,3,,,,,
Akoko Edo,UMA P/S IMOGA,PE,UMAGBAE P/S UGBOKO,0,124,136,3,6,5,,,,,
owan west,Ulevbioje P/S Ikpeyan,P,INSIDE CATHOLIC COMPOUND,0,130,140,3,6,9,,,,,
,,PE,SaboIkpeyan road,105,174,146,3,6,5,,,,,
IKPOBA OKHA,ULEGUN PRIMARY SCHOOL,PE,ABRAKA ROAD,101,216,194,3,6,3,,,,,
Ovia Swest,ULAH P/S UGBOGUI,PE,INNER UGBOGUI,81,124,123,3,6,5,,,,,
Etsako West,UKU P/S IYUKU,PE,OPPOSITE ST. JOHN ANGLICAN CHURCH IYUKU,106,145,116,3,6,6,,,,,
ESAN CENT,"UKPUGHELE P/S, UGBEGUN",PE,UKPUGHELE COMMUNITY UGBEGUN,19,44,29,3,6,4,,,,,
Egor,UKPERA,PE,UPPER ERHUMWENSE ALONG OKHOKHUGBO,48,63,60,3,6,4,,,,,
ESAN SEAST,UKPAJA P/S UBIAJA,P,UKPAJA P/S UBIAJA,110,190,100,3,6,9,,,,,
Esan NEAST,UKONI PRI. SCH. UROMI,PE,UKONIUROMI,104,202,204,3,6,5,,,,,
Akoko Edo,UKILEKPE P/S LAMPESE,PE,"C/O LAMPESE MAIN MART. ABUJA EXPRESS WAY, LAMPESE",161,205,260,3,6,6,,,,,
ESAN SEAST,UKHUANLEN P/S UBIAJA,P,UKHUANLEN P/S UBIAJA,177,147,140,3,6,5,,,,,
Etsako Cent,UKHO PRIMARY SCHOOL UKHO ANNEX TO EBIDI PRIMARY SCHOOL FUGAR,,UKHO QUARTER UKHO,53,0,,3,6,9,,,,,
Oredo,UKHEGIE PRIMARY SCHOOL,PE,"EVBIEMWEN STREET, OFF IYARO, BENIN CITY",31,160,131,3,6,4,,,,,
Akoko Edo,UKE P/S LAMPESE,PE,BEHIND ST. THOMAS CATH. CH. LAMPESE,90,223,199,3,6,9,,,,,
owan west,Ukato Nom. Ozalla,PE,Along Uhonmora/Ozalla rd,0,75,58,3,6,4,,,,,
ESAN CENT,"UJOSANLEN P/S, OPOJI",PE,UJOSANLEN COMMUNITY OPOJI,58,71,80,3,6,9,,,,,
Igueben,"Ujielu P/S, Ewossa",,"Ujielu Qtrs, Ewossa",22,111,110,3,6,9,,,,,
ESAN CENT,"UJABHOLE P/S, IRRUA",PE,UJABHOLE COMMUNITY IRRUA,50,134,127,3,6,6,,,,,
ESAN SEAST,UHOMEBHO P/S EWATTO,P,UHOMEBHO P/S EWATTO,146,156,172,3,6,6,,,,,
owan west,Uguanroba P/S EmeOra,PE,EmeOra,35,111,120,3,6,9,,,,,
ORHIONMWON,UGU P/S UMOGHUNNOKHUA,PE,1 OGBON STR OPP THE MARKET ALONG MAIN RD,158,264,284,3,6,3,,,,,
UHUNMWODE,UGO P/S UGONEKI,P,ENOGIE QRTRS OLD BENIN/ASABA RD,0,248,291,3,6,3,,,,,
UHUNMWODE,UGIANMWEN P/S UGIANMWEN,P,EGUARE QUARTER ,0,85,76,3,6,9,,,,,
Egor,UGIAGBE,PE,"IGUNMA ST, EVBUOTUBU",97,276,216,3,6,3,,,,,
Etsako West,UGHIOLE P/S AVIELE,PE,ALONG BENIN OKENE ROAD AVIELE ,228,669,591,3,6,3,,,,,
Etsako West,UGHIEDA P/S UGHIEDA,PE,UGHIEDA ,77,117,107,3,6,9,,,,,
ORHIONMWON,UGBUKUEN P/S UGO,PE,ALONG UGO OBEN VILLAGE RD,25,80,68,3,6,5,,,,,
Egor,UGBOWO,PE,"EAGLE FURNITURE ROAD, UWASOTA",203,455,447,3,6,5,,,,,
Egor,UGBOWO HOUSING ESTATE,PE,"STREET 19, BEHIND ESTATE POLICE STATION",200,333,382,3,6,7,,,,,
Ovia Swest,UGBOKUA P/S UGBOKUA,P,UGBOKUA VILLAGE,0,33,39,3,6,8,,,,,
